Stevilka igralca,Igralec,Pozicija,ID ekipe,FG,FGA,Skoki,Asistence,Ukradene žoge,Blokade,Izgubljene žoge,Tocke
201,Maurice Harkless,PF,SAC,2.5,5.8,2.9,1.4,1.1,0.6,0.7,6.9
202,Jared Harper,PG,NYK,0.0,0.5,0.3,0.1,0.0,0.0,0.4,0.4
203,Montrezl Harrell,C,LAL,5.4,8.7,6.2,1.1,0.7,0.7,1.1,13.5
204,Gary Harris,SG,DEN,3.6,8.2,2.5,1.7,0.9,0.2,0.7,9.7
204,Gary Harris,SG,ORL,3.5,9.5,1.6,2.3,0.6,0.4,1.2,10.2
205,Jalen Harris,SG,TOR,2.8,5.5,1.4,1.3,0.6,0.0,1.1,7.4
206,Joe Harris,SF,BRK,5.2,10.2,3.6,1.9,0.7,0.2,0.9,14.1
207,Tobias Harris,PF,PHI,7.6,14.9,6.8,3.5,0.9,0.8,1.7,19.5
208,Shaquille Harrison,SG,UTA,0.4,1.2,0.5,0.5,0.1,0.0,0.3,1.0
208,Shaquille Harrison,SG,DEN,1.2,3.4,2.3,0.9,0.9,0.3,0.4,3.3
209,Josh Hart,SF,NOP,3.2,7.3,8.0,2.3,0.8,0.3,1.0,9.2
210,Isaiah Hartenstein,C,DEN,1.4,2.7,2.8,0.5,0.4,0.7,0.7,3.5
210,Isaiah Hartenstein,C,CLE,3.3,5.7,6.0,2.5,0.5,1.2,1.4,8.3
211,Udonis Haslem,C,MIA,2.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0
212,Jaxson Hayes,C,NOP,2.9,4.7,4.3,0.6,0.4,0.6,0.7,7.5
213,Killian Hayes,PG,DET,2.7,7.7,2.7,5.3,1.0,0.4,3.2,6.8
214,Gordon Hayward,SF,CHO,7.1,15.0,5.9,4.1,1.2,0.3,2.1,19.6
215,Juan Hernangómez,PF,MIN,2.5,5.8,3.9,0.7,0.4,0.1,0.5,7.2
216,Willy Hernangómez,C,NOP,3.2,5.7,7.1,1.1,0.5,0.5,0.7,7.8
